pdb_id,num_chains,chain_names,total_amino_acids,structure_type,expdta,num_models
1c9q,1,A,117,NMR,SOLUTION NMR,1
1ca9,8,"A,B,C,D,E,F,G,H",1148,single,X-RAY DIFFRACTION,1
1cb5,3,"A,B,C",1359,single,X-RAY DIFFRACTION,1
1cc0,4,"A,C,E,F",734,single,X-RAY DIFFRACTION,1
1ccz,1,A,171,single,X-RAY DIFFRACTION,1
1cd9,4,"A,B,C,D",750,single,X-RAY DIFFRACTION,1
1cdb,1,A,105,NMR,SOLUTION NMR,18
1cdz,1,A,96,single,X-RAY DIFFRACTION,1
1cee,2,"A,B",238,NMR,SOLUTION NMR,20
1cf4,2,"A,B",228,NMR,SOLUTION NMR,20
1cf7,2,"A,B",149,single,X-RAY DIFFRACTION,1
1cfa,2,"A,B",74,NMR,SOLUTION NMR,20
1cfh,1,A,47,NMR,SOLUTION NMR,15
1cfi,1,A,35,NMR,SOLUTION NMR,17
1cjy,2,"A,B",1247,single,X-RAY DIFFRACTION,1
1ckl,6,"A,B,C,D,E,F",756,single,X-RAY DIFFRACTION,1
1cks,3,"A,B,C",230,single,X-RAY DIFFRACTION,1
1cl3,1,A,138,NMR,SOLUTION NMR,25
1cm0,2,"A,B",325,single,X-RAY DIFFRACTION,1
1cmo,1,A,127,NMR,SOLUTION NMR,43
1cnt,4,"1,2,3,4",552,single,X-RAY DIFFRACTION,1
1co1,1,A,115,NMR,SOLUTION NMR,10
1cok,1,A,68,NMR,SOLUTION NMR,18
1cr8,1,A,42,NMR,SOLUTION NMR,20
1csk,4,"A,B,C,D",232,single,X-RAY DIFFRACTION,1
1csy,2,"A,B",116,NMR,SOLUTION NMR,20
1cws,1,A,179,single,X-RAY DIFFRACTION,1
1cww,1,A,102,NMR,SOLUTION NMR,20
1cxz,2,"A,B",268,single,X-RAY DIFFRACTION,1
1cyl,1,A,129,NMR,SOLUTION NMR,20
1cyu,1,A,98,NMR,SOLUTION NMR,15
1d0r,1,A,30,NMR,SOLUTION NMR,20
1d1j,4,"A,B,C,D",549,single,X-RAY DIFFRACTION,1
1d2j,1,A,40,NMR,SOLUTION NMR,20
1d2l,1,A,45,NMR,SOLUTION NMR,20
1d3b,12,"A,B,C,D,E,F,G,H,I,J,K,L",946,single,X-RAY DIFFRACTION,1
1d4u,1,A,111,NMR,SOLUTION NMR,1
1d4v,2,"A,B",280,single,X-RAY DIFFRACTION,1
1d5g,2,"A,B",111,NMR,SOLUTION NMR,20
1d7q,2,"A,B",157,NMR,SOLUTION NMR,20
1d8j,1,A,81,NMR,SOLUTION NMR,20
1d9n,1,A,75,NMR,SOLUTION NMR,25
1db2,2,"A,B",739,single,X-RAY DIFFRACTION,1
1dc2,1,A,156,NMR,SOLUTION NMR,20
1dd1,3,"A,B,C",711,single,X-RAY DIFFRACTION,1
1ddf,1,A,127,NMR,SOLUTION NMR,1
1deb,2,"A,B",107,single,X-RAY DIFFRACTION,1
1deh,2,"A,B",748,single,X-RAY DIFFRACTION,1
1deu,2,"A,B",484,single,X-RAY DIFFRACTION,1
1dev,4,"A,B,C,D",466,single,X-RAY DIFFRACTION,1
1dfb,2,"H,L",441,single,X-RAY DIFFRACTION,1
1dfn,2,"A,B",60,single,X-RAY DIFFRACTION,1
1dgi,5,"1,2,3,4,R",1154,single,ELECTRON MICROSCOPY,1
1dgu,1,A,183,NMR,SOLUTION NMR,1
1dgv,1,A,183,NMR,SOLUTION NMR,1
1dk8,1,A,147,single,X-RAY DIFFRACTION,1
1dks,2,"A,B",149,single,X-RAY DIFFRACTION,1
1dl6,1,A,58,NMR,SOLUTION NMR,25
1dol,1,A,71,single,X-RAY DIFFRACTION,1
1dom,2,"A,B",152,NMR,SOLUTION NMR,1
1dpu,2,"A,B",85,NMR,SOLUTION NMR,30
1dqb,1,A,83,NMR,SOLUTION NMR,12
1dr9,1,A,200,single,X-RAY DIFFRACTION,1
1ds6,2,"A,B",360,single,X-RAY DIFFRACTION,1
1dsz,2,"A,B",159,single,X-RAY DIFFRACTION,1
1dt9,1,A,398,single,X-RAY DIFFRACTION,1
1duj,1,A,187,NMR,SOLUTION NMR,1
1dux,2,"C,F",172,single,X-RAY DIFFRACTION,1
1dv0,1,A,45,NMR,SOLUTION NMR,18
1dva,6,"H,I,L,M,X,Y",700,single,X-RAY DIFFRACTION,1
1dx5,12,"A,B,C,D,I,J,K,L,M,N,O,P",1456,single,X-RAY DIFFRACTION,1
1dxt,4,"A,B,C,D",576,single,X-RAY DIFFRACTION,1
1dxx,4,"A,B,C,D",952,single,X-RAY DIFFRACTION,1
1dyn,2,"A,B",226,single,X-RAY DIFFRACTION,1
1dzd,1,A,127,NMR,SOLUTION NMR,24
1dzg,2,"I,L",831,single,X-RAY DIFFRACTION,1
1e0a,2,"A,B",230,NMR,SOLUTION NMR,20
1e0o,4,"A,B,C,D",652,single,X-RAY DIFFRACTION,1
1e0s,1,A,173,single,X-RAY DIFFRACTION,1
1e3y,1,A,104,NMR,SOLUTION NMR,1
1e4s,1,A,36,NMR,SOLUTION NMR,20
1e4u,1,A,78,NMR,SOLUTION NMR,30
1e5w,1,A,346,single,X-RAY DIFFRACTION,1
1e7z,1,A,173,single,X-RAY DIFFRACTION,1
1e8b,1,A,160,NMR,SOLUTION NMR,1
1eba,4,"A,B,C,D",449,single,X-RAY DIFFRACTION,1
1eer,3,"A,B,C",592,single,X-RAY DIFFRACTION,1
1ees,2,"A,B",224,NMR,SOLUTION NMR,20
1ef1,4,"A,B,C,D",752,single,X-RAY DIFFRACTION,1
1ef7,2,"A,B",484,single,X-RAY DIFFRACTION,1
1efe,1,A,60,NMR,SOLUTION NMR,20
1efv,2,"A,B",564,single,X-RAY DIFFRACTION,1
1efx,5,"A,B,C,D,E",781,single,X-RAY DIFFRACTION,1
1eg3,1,A,260,single,X-RAY DIFFRACTION,1
1egx,1,A,115,NMR,SOLUTION NMR,15
1eh6,1,A,168,single,X-RAY DIFFRACTION,1
1ehw,2,"A,B",285,single,X-RAY DIFFRACTION,1
1ej5,1,A,107,NMR,SOLUTION NMR,20
1elk,2,"A,B",306,single,X-RAY DIFFRACTION,1
1emn,1,A,82,NMR,SOLUTION NMR,1
1eot,1,A,74,NMR,SOLUTION NMR,1
1eq3,1,A,96,NMR,SOLUTION NMR,25
1eqf,1,A,267,single,X-RAY DIFFRACTION,1
1esl,1,A,157,single,X-RAY DIFFRACTION,1
1et1,2,"A,B",68,single,X-RAY DIFFRACTION,1
1eub,1,A,171,NMR,SOLUTION NMR,20
1ewi,1,A,114,NMR,SOLUTION NMR,1
1ext,2,"A,B",318,single,X-RAY DIFFRACTION,1
1ey2,1,A,410,single,X-RAY DIFFRACTION,1
1f05,2,"A,B",644,single,X-RAY DIFFRACTION,1
1f13,2,"A,B",1441,single,X-RAY DIFFRACTION,1
1f16,1,A,192,NMR,SOLUTION NMR,20
1f2h,1,A,169,NMR,SOLUTION NMR,1
1f3m,4,"A,B,C,D",712,single,X-RAY DIFFRACTION,1
1f3u,8,"A,B,C,D,E,F,G,H",1055,single,X-RAY DIFFRACTION,1
1f3v,2,"A,B",322,single,X-RAY DIFFRACTION,1
1f45,2,"A,B",415,single,X-RAY DIFFRACTION,1
1f4i,1,A,45,NMR,SOLUTION NMR,21
1f4o,2,"A,B",330,single,X-RAY DIFFRACTION,1
1f5n,1,A,570,single,X-RAY DIFFRACTION,1
1f5y,1,A,85,NMR,SOLUTION NMR,20
1f6o,1,A,211,single,X-RAY DIFFRACTION,1
1f7m,1,A,46,NMR,SOLUTION NMR,1
1f8a,2,"B,C",160,single,X-RAY DIFFRACTION,1
1f9p,1,A,81,single,X-RAY DIFFRACTION,1
1f9x,1,A,117,NMR,SOLUTION NMR,1
1fa9,1,A,833,single,X-RAY DIFFRACTION,1
1fb1,5,"A,B,C,D,E",980,single,X-RAY DIFFRACTION,1
1fb8,1,A,106,single,X-RAY DIFFRACTION,1
1fbr,1,A,93,NMR,SOLUTION NMR,1
1fbv,3,"A,B,C",540,single,X-RAY DIFFRACTION,1
1fch,4,"A,B,C,D",609,single,X-RAY DIFFRACTION,1
1fd3,4,"A,B,C,D",162,single,X-RAY DIFFRACTION,1
1fdh,4,"A,B,G,H",574,single,X-RAY DIFFRACTION,1
1fe0,2,"A,B",134,single,X-RAY DIFFRACTION,1
1few,1,A,173,single,X-RAY DIFFRACTION,1
1fex,1,A,59,NMR,SOLUTION NMR,25
1ff7,1,A,46,NMR,SOLUTION NMR,20
1fg9,5,"A,B,C,D,E",862,single,X-RAY DIFFRACTION,1
1fgu,2,"A,B",484,single,X-RAY DIFFRACTION,1
1fhs,1,A,112,NMR,SOLUTION NMR,18
1fht,1,A,116,NMR,SOLUTION NMR,43
1fik,1,A,139,single,X-RAY DIFFRACTION,1
1fjd,1,A,104,NMR,SOLUTION NMR,20
1flh,1,A,326,single,X-RAY DIFFRACTION,1
1fli,1,A,98,NMR,SOLUTION NMR,30
1flk,2,"A,B",410,single,X-RAY DIFFRACTION,1
1fnf,1,A,368,single,X-RAY DIFFRACTION,1
1fnh,1,A,269,single,X-RAY DIFFRACTION,1
1fo1,2,"A,B",378,single,X-RAY DIFFRACTION,1
1fos,4,"E,F,G,H",234,single,X-RAY DIFFRACTION,1
1fp0,1,A,88,NMR,SOLUTION NMR,1
1fpr,2,"A,B",293,single,X-RAY DIFFRACTION,1
1fq1,2,"A,B",478,single,X-RAY DIFFRACTION,1
1fqq,1,A,41,NMR,SOLUTION NMR,20
1fqv,16,"A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P",3696,single,X-RAY DIFFRACTION,1
1fqy,1,A,226,single,ELECTRON CRYSTALLOGRAPHY,1
1fs2,4,"A,B,C,D",774,single,X-RAY DIFFRACTION,1
1fst,2,"A,B",286,single,X-RAY DIFFRACTION,1
1ft4,2,"A,B",282,single,X-RAY DIFFRACTION,1
1fu1,2,"A,B",373,single,X-RAY DIFFRACTION,1
1fu2,8,"A,B,C,D,E,F,G,H",204,single,POWDER DIFFRACTION,1
1fv1,6,"A,B,C,D,E,F",775,single,X-RAY DIFFRACTION,1
1fvr,2,"A,B",599,single,X-RAY DIFFRACTION,1
1fvy,1,A,31,NMR,SOLUTION NMR,20
1fwq,1,A,115,NMR,SOLUTION NMR,1
1fxl,1,A,167,single,X-RAY DIFFRACTION,1
1fyc,1,A,106,NMR,SOLUTION NMR,1
1fyj,1,A,57,NMR,SOLUTION NMR,20
1fyx,1,A,145,single,X-RAY DIFFRACTION,1
1fzd,8,"A,B,C,D,E,F,G,H",1576,single,X-RAY DIFFRACTION,1
1fzv,2,"A,B",200,single,X-RAY DIFFRACTION,1
1g0y,2,"I,R",331,single,X-RAY DIFFRACTION,1
1g1q,4,"A,B,C,D",639,single,X-RAY DIFFRACTION,1
1g1s,4,"A,B,C,D",337,single,X-RAY DIFFRACTION,1
1g1u,4,"A,B,C,D",912,single,X-RAY DIFFRACTION,1
1g2l,2,"A,B",290,single,X-RAY DIFFRACTION,1
1g2s,1,A,71,NMR,SOLUTION NMR,1
1g3f,2,"A,B",126,NMR,SOLUTION NMR,1
1g47,1,A,70,NMR,SOLUTION NMR,25
1g4f,1,A,86,NMR,SOLUTION NMR,20
1g73,4,"A,B,C,D",505,single,X-RAY DIFFRACTION,1
1g82,4,"A,B,C,D",624,single,X-RAY DIFFRACTION,1
1g83,2,"A,B",322,single,X-RAY DIFFRACTION,1
1g9l,1,A,144,NMR,SOLUTION NMR,30
1ga3,1,A,113,NMR,SOLUTION NMR,20
1gcz,3,"A,B,C",350,single,X-RAY DIFFRACTION,1
1gd3,1,A,98,NMR,SOLUTION NMR,1
1gd4,1,A,98,NMR,SOLUTION NMR,1
1gd5,1,A,130,NMR,SOLUTION NMR,20
1ggl,2,"A,B",268,single,X-RAY DIFFRACTION,1
1gh2,1,A,107,single,X-RAY DIFFRACTION,1
1ghq,3,"A,B,C",570,single,X-RAY DIFFRACTION,1
1gjj,1,A,93,NMR,SOLUTION NMR,1
1gnc,1,A,175,NMR,SOLUTION NMR,10
1go4,8,"A,B,C,D,E,F,G,H",1146,single,X-RAY DIFFRACTION,1
1go5,1,A,69,NMR,SOLUTION NMR,26
1go9,1,A,39,NMR,SOLUTION NMR,1
1gqf,2,"A,B",484,single,X-RAY DIFFRACTION,1
1gri,2,"A,B",422,single,X-RAY DIFFRACTION,1
1gse,2,"A,B",442,single,X-RAY DIFFRACTION,1
1gsm,1,A,206,single,X-RAY DIFFRACTION,1
1gt0,2,"C,D",218,single,X-RAY DIFFRACTION,1
1gvj,2,"A,B",288,single,X-RAY DIFFRACTION,1
1gvl,1,A,220,single,X-RAY DIFFRACTION,1
1gw3,1,A,46,NMR,SOLUTION NMR,1
1gw4,1,A,46,NMR,SOLUTION NMR,1
1gwx,2,"A,B",542,single,X-RAY DIFFRACTION,1
1gxd,4,"A,B,C,D",1631,single,X-RAY DIFFRACTION,1
1gxe,1,A,130,NMR,SOLUTION NMR,10
1gy5,2,"A,B",247,single,X-RAY DIFFRACTION,1
1gyk,5,"A,B,C,D,E",1020,single,X-RAY DIFFRACTION,1
1gzk,1,A,271,single,X-RAY DIFFRACTION,1
1h02,1,B,64,single,X-RAY DIFFRACTION,1
1h0z,1,A,68,NMR,SOLUTION NMR,21
1h1v,2,"A,G",695,single,X-RAY DIFFRACTION,1
1h30,1,A,391,single,X-RAY DIFFRACTION,1
1h3i,2,"A,B",586,single,X-RAY DIFFRACTION,1
1h59,2,"A,B",99,single,X-RAY DIFFRACTION,1
1h5p,1,A,95,NMR,SOLUTION NMR,10
1h6f,2,"A,B",370,single,X-RAY DIFFRACTION,1
1h6g,2,"A,B",483,single,X-RAY DIFFRACTION,1
1h6h,1,A,143,single,X-RAY DIFFRACTION,1
1h7s,2,"A,B",615,single,X-RAY DIFFRACTION,1
1h88,3,"A,B,C",293,single,X-RAY DIFFRACTION,1
1h8b,2,"A,B",96,NMR,SOLUTION NMR,30
1h8c,1,A,82,NMR,SOLUTION NMR,20
1h8x,2,"A,B",252,single,X-RAY DIFFRACTION,1
1h92,1,A,63,NMR,SOLUTION NMR,30
1h95,1,A,79,NMR,SOLUTION NMR,10
1h9d,4,"A,B,C,D",504,single,X-RAY DIFFRACTION,1
1h9e,1,A,56,NMR,SOLUTION NMR,10
1h9f,1,A,57,NMR,SOLUTION NMR,10
1h9v,1,A,172,single,X-RAY DIFFRACTION,1
1hae,1,A,63,NMR,SOLUTION NMR,20
1haq,1,A,1213,NMR,SOLUTION SCATTERING,4
1hbx,6,"A,B,D,E,G,H",569,single,X-RAY DIFFRACTION,1
1hcf,4,"A,B,X,Y",444,single,X-RAY DIFFRACTION,1
1hci,2,"A,B",950,single,X-RAY DIFFRACTION,1
1hcn,2,"A,B",195,single,X-RAY DIFFRACTION,1
1hcp,1,A,75,NMR,SOLUTION NMR,30
1hcq,4,"A,B,E,F",290,single,X-RAY DIFFRACTION,1
1hdj,1,A,77,NMR,SOLUTION NMR,20
1hdl,1,A,55,NMR,SOLUTION NMR,21
1he7,1,A,108,single,X-RAY DIFFRACTION,1
1hfh,1,A,120,NMR,SOLUTION NMR,1
1hgu,1,A,187,single,X-RAY DIFFRACTION,1
1hh4,4,"A,B,D,E",744,single,X-RAY DIFFRACTION,1
1hi7,2,"A,B",120,NMR,SOLUTION NMR,10
1hiq,2,"A,B",51,NMR,SOLUTION NMR,10
1hit,2,"A,B",51,NMR,SOLUTION NMR,9
1hj7,1,A,80,NMR,SOLUTION NMR,20
1hjv,4,"A,B,C,D",1448,single,X-RAY DIFFRACTION,1
1hkc,1,A,899,single,X-RAY DIFFRACTION,1
1hlg,2,"A,B",736,single,X-RAY DIFFRACTION,1
1hlo,2,"A,B",153,single,X-RAY DIFFRACTION,1
1hmp,2,"A,B",423,single,X-RAY DIFFRACTION,1
1hna,1,A,217,single,X-RAY DIFFRACTION,1
1hnf,1,A,179,single,X-RAY DIFFRACTION,1
1ho9,1,A,32,NMR,SOLUTION NMR,20
1hof,1,A,32,NMR,SOLUTION NMR,20
1hov,1,A,163,NMR,SOLUTION NMR,11
1hp7,1,A,376,single,X-RAY DIFFRACTION,1
1hph,1,A,37,NMR,SOLUTION NMR,10
1hpj,1,A,79,NMR,SOLUTION NMR,12
1hpy,1,A,34,NMR,SOLUTION NMR,10
1hra,1,A,80,NMR,SOLUTION NMR,15
1hre,1,A,67,NMR,SOLUTION NMR,1
1hrf,1,A,67,NMR,SOLUTION NMR,10
1hrj,2,"A,B",136,NMR,SOLUTION NMR,13
1hry,1,A,73,NMR,SOLUTION NMR,1
1hso,2,"A,B",748,single,X-RAY DIFFRACTION,1
1hsq,1,A,71,NMR,SOLUTION NMR,1
1ht0,2,"A,B",748,single,X-RAY DIFFRACTION,1
1hth,1,A,31,NMR,SOLUTION NMR,10
1hti,2,"A,B",496,single,X-RAY DIFFRACTION,1
1htj,1,F,178,single,X-RAY DIFFRACTION,1
1hum,2,"A,B",138,NMR,SOLUTION NMR,1
1hur,2,"A,B",360,single,X-RAY DIFFRACTION,1
1hwh,2,"A,B",381,single,X-RAY DIFFRACTION,1
1hyi,1,A,65,NMR,SOLUTION NMR,20
1hyk,1,A,46,NMR,SOLUTION NMR,40
1hyn,4,"P,Q,R,S",1188,single,X-RAY DIFFRACTION,1
1hz8,1,A,82,NMR,SOLUTION NMR,30
1hzh,4,"H,K,L,M",1301,single,X-RAY DIFFRACTION,1
1hzm,1,A,154,NMR,SOLUTION NMR,1
1i0e,4,"A,B,C,D",1460,single,X-RAY DIFFRACTION,1
1i16,1,A,130,NMR,SOLUTION NMR,20
1i1n,1,A,224,single,X-RAY DIFFRACTION,1
1i1r,2,"A,B",468,single,X-RAY DIFFRACTION,1
1i27,1,A,73,single,X-RAY DIFFRACTION,1
1i2m,4,"A,B,C,D",1107,single,X-RAY DIFFRACTION,1
1i2t,1,A,61,single,X-RAY DIFFRACTION,1
1i3d,2,"A,B",292,single,X-RAY DIFFRACTION,1
1i3k,2,"A,B",692,single,X-RAY DIFFRACTION,1
1i3o,6,"A,B,C,D,E,F",663,single,X-RAY DIFFRACTION,1
1i49,2,"A,B",402,single,X-RAY DIFFRACTION,1
1i4e,2,"A,B",536,single,X-RAY DIFFRACTION,1
1i4m,1,A,108,single,X-RAY DIFFRACTION,1
1i5j,1,A,67,NMR,SOLUTION NMR,25
1i6c,1,A,39,NMR,SOLUTION NMR,10
1i85,4,"A,B,C,D",448,single,X-RAY DIFFRACTION,1
1i8g,2,"A,B",48,NMR,SOLUTION NMR,10
1iap,1,A,190,single,X-RAY DIFFRACTION,1
1ias,5,"A,B,C,D,E",1644,single,X-RAY DIFFRACTION,1
1ibr,4,"A,B,C,D",1234,single,X-RAY DIFFRACTION,1
1ibx,2,"A,B",170,NMR,SOLUTION NMR,10
1icf,6,"A,B,C,D,I,J",564,single,X-RAY DIFFRACTION,1
1ich,1,A,87,NMR,SOLUTION NMR,1
1ify,1,A,49,NMR,SOLUTION NMR,10
1ig4,1,A,75,NMR,SOLUTION NMR,20
1ig6,1,A,107,NMR,SOLUTION NMR,11
1igl,1,A,67,NMR,SOLUTION NMR,20
1igr,1,A,471,single,X-RAY DIFFRACTION,1
1ih5,1,A,224,single,ELECTRON CRYSTALLOGRAPHY,1
1iie,3,"A,B,C",225,NMR,SOLUTION NMR,20
1iil,8,"A,B,C,D,E,F,G,H",1361,single,X-RAY DIFFRACTION,1
1iju,4,"A,B,C,D",144,single,X-RAY DIFFRACTION,1
1ijz,1,A,113,NMR,SOLUTION NMR,1
1ik9,3,"A,B,C",430,single,X-RAY DIFFRACTION,1
1ikn,3,"A,C,D",612,single,X-RAY DIFFRACTION,1
1il8,2,"A,B",142,NMR,SOLUTION NMR,1
1ilr,2,"1,2",289,single,X-RAY DIFFRACTION,1
1imh,2,"C,D",562,single,X-RAY DIFFRACTION,1
1imo,1,A,88,NMR,SOLUTION NMR,1
1ioj,1,A,57,NMR,SOLUTION NMR,18
1iox,1,A,50,NMR,SOLUTION NMR,40
1ip0,1,A,50,NMR,SOLUTION NMR,1
1ipb,1,A,191,single,X-RAY DIFFRACTION,1
1ira,2,"X,Y",456,single,X-RAY DIFFRACTION,1
1irl,1,A,133,NMR,SOLUTION NMR,1
1irp,1,A,153,NMR,SOLUTION NMR,12
1iry,1,A,156,NMR,SOLUTION NMR,30
1itb,2,"A,B",463,single,X-RAY DIFFRACTION,1
1itf,1,A,165,NMR,SOLUTION NMR,24
1iti,1,A,133,NMR,SOLUTION NMR,31
1itl,1,A,130,NMR,SOLUTION NMR,1
1itq,2,"A,B",738,single,X-RAY DIFFRACTION,1
1itv,2,"A,B",390,single,X-RAY DIFFRACTION,1
1ity,1,A,67,NMR,SOLUTION NMR,25
1iu1,2,"A,B",243,single,X-RAY DIFFRACTION,1
1ivh,4,"A,B,C,D",1548,single,X-RAY DIFFRACTION,1
1ivo,4,"A,B,C,D",1115,single,X-RAY DIFFRACTION,1
1ivt,1,A,122,NMR,SOLUTION NMR,15
1ivy,2,"A,B",902,single,X-RAY DIFFRACTION,1
1ixd,1,A,104,NMR,SOLUTION NMR,20
1iyf,1,A,76,NMR,SOLUTION NMR,10
1iyr,1,A,83,NMR,SOLUTION NMR,10
1iyt,1,A,42,NMR,SOLUTION NMR,10
1iz2,1,A,371,single,X-RAY DIFFRACTION,1
1j0s,1,A,157,NMR,SOLUTION NMR,20
